index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,work_phone,phone,email,occyp_type,family_size,begin_month,credit,income_quintile
31,M,Y,Y,0,135000,Commercial associate,Higher education,Married,House / apartment,32,115,1,1,0,1,Laborers,2,18,0,3
32,F,N,Y,0,135000,Working,Higher education,Married,House / apartment,36,54,1,0,0,0,Laborers,2,2,0,3
33,M,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,52,11,1,0,1,0,High skill tech staff,2,30,2,2
34,M,Y,Y,1,270000,Working,Secondary / secondary special,Married,House / apartment,39,54,1,0,1,0,Laborers,3,22,0,1
35,F,Y,N,0,225000,Working,Higher education,Civil marriage,House / apartment,39,81,1,0,0,0,Managers,2,20,2,1
36,F,Y,N,0,225000,Working,Higher education,Single / not married,House / apartment,55,34,1,1,1,0,Accountants,1,14,2,1
37,M,Y,Y,0,585000,Commercial associate,Secondary / secondary special,Married,With parents,45,54,1,0,0,0,Drivers,2,8,2,1
38,F,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,37,115,1,0,0,0,Sales staff,2,41,2,2
39,M,Y,Y,2,112500,Working,Secondary / secondary special,Married,House / apartment,35,53,1,0,0,0,Laborers,4,39,2,4
40,M,Y,Y,0,90900,Working,Secondary / secondary special,Married,House / apartment,59,80,1,0,0,0,Laborers,2,21,1,4
41,F,N,Y,2,99000,Commercial associate,Higher education,Married,House / apartment,34,14,1,0,1,0,Accountants,4,19,2,4
42,M,N,N,1,270000,Working,Secondary / secondary special,Married,House / apartment,27,18,1,1,0,0,Managers,3,35,0,1
43,F,N,N,0,67500,Working,Secondary / secondary special,Married,House / apartment,27,62,1,0,0,0,Sales staff,2,8,1,4
44,M,N,N,0,247500,Working,Higher education,Civil marriage,House / apartment,41,6,1,0,0,0,Drivers,2,26,2,1
45,M,Y,N,0,405000,Working,Higher education,Married,House / apartment,51,106,1,1,1,0,High skill tech staff,2,4,0,1
46,F,N,N,0,135000,Pensioner,Secondary / secondary special,Widow,House / apartment,57,12174,1,0,1,0,,1,24,2,3
47,F,Y,Y,0,292500,Commercial associate,Higher education,Married,House / apartment,50,116,1,0,0,0,Sales staff,2,48,2,1
48,F,N,Y,0,99000,Pensioner,Secondary / secondary special,Married,House / apartment,64,12174,1,0,0,0,,2,4,2,4
49,F,N,Y,0,585000,Commercial associate,Secondary / secondary special,Married,House / apartment,51,67,1,0,1,0,,2,12,2,1
50,F,Y,N,1,90000,Working,Secondary / secondary special,Married,House / apartment,38,36,1,1,0,0,Sales staff,3,4,2,4
51,M,Y,Y,0,495000,Working,Incomplete higher,Married,With parents,24,36,1,0,0,1,Drivers,2,10,2,1
52,F,N,Y,0,54000,Pensioner,Secondary / secondary special,Married,House / apartment,65,12174,1,0,1,0,,2,37,2,4
53,F,Y,Y,2,306000,State servant,Higher education,Married,House / apartment,37,132,1,0,0,0,Core staff,4,42,2,1
54,F,N,N,1,99000,Working,Secondary / secondary special,Married,House / apartment,42,14,1,0,0,0,,3,2,1,4
55,F,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,37,100,1,0,0,0,Laborers,2,24,2,2
56,F,Y,Y,0,130500,Working,Secondary / secondary special,Married,House / apartment,44,313,1,0,1,0,Laborers,2,29,2,3
57,F,N,Y,0,225000,Commercial associate,Higher education,Single / not married,House / apartment,46,21,1,0,0,0,Core staff,1,3,1,1
58,F,N,Y,0,144000,Pensioner,Secondary / secondary special,Married,House / apartment,63,12174,1,0,0,0,,2,23,2,3
59,F,N,Y,0,360000,Pensioner,Higher education,Married,House / apartment,62,12174,1,0,1,0,,2,25,2,1
60,M,Y,Y,0,112500,Pensioner,Secondary / secondary special,Separated,House / apartment,58,12174,1,0,0,0,,1,1,1,4
61,M,Y,N,1,270000,Commercial associate,Higher education,Married,House / apartment,31,45,1,0,0,0,Managers,3,15,2,1
62,F,Y,Y,0,225000,Working,Higher education,Married,House / apartment,47,105,1,0,1,0,Core staff,2,40,1,1
63,M,Y,Y,0,315000,Working,Higher education,Married,House / apartment,42,111,1,0,0,0,Managers,2,21,2,1
64,M,Y,N,0,67500,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,24,23,1,0,0,0,Security staff,1,32,2,4
65,F,N,Y,0,40500,Working,Secondary / secondary special,Married,House / apartment,34,164,1,1,0,0,Cleaning staff,2,10,2,4
66,M,N,Y,1,144000,Working,Secondary / secondary special,Married,House / apartment,37,92,1,0,0,0,Laborers,3,4,1,3
67,F,N,Y,2,157500,Commercial associate,Higher education,Married,House / apartment,33,40,1,0,0,0,High skill tech staff,4,2,1,2
68,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,28,53,1,0,0,0,Laborers,2,14,1,2
69,F,N,Y,0,157500,Working,Higher education,Married,House / apartment,42,98,1,0,0,1,Medicine staff,2,59,2,2
70,M,N,Y,0,81000,Commercial associate,Higher education,Single / not married,House / apartment,27,64,1,0,1,0,Laborers,1,39,2,4
71,M,Y,N,2,202500,Working,Secondary / secondary special,Married,House / apartment,43,126,1,0,0,0,Laborers,4,54,2,2
72,F,N,N,0,351000,Commercial associate,Higher education,Married,House / apartment,59,36,1,0,1,0,,2,4,2,1
73,F,N,Y,0,180000,Pensioner,Secondary / secondary special,Married,House / apartment,63,12174,1,0,1,0,,2,34,2,2
74,F,N,Y,1,67500,Working,Secondary / secondary special,Married,House / apartment,28,7,1,1,1,0,Sales staff,3,25,2,4
75,F,Y,Y,0,315000,Commercial associate,Secondary / secondary special,Married,House / apartment,42,183,1,0,0,1,Core staff,2,34,2,1
76,F,Y,N,0,315000,Commercial associate,Higher education,Married,House / apartment,37,19,1,1,1,0,,2,15,2,1
77,F,N,N,0,135000,Working,Higher education,Single / not married,House / apartment,26,17,1,0,0,0,Core staff,1,7,1,3
78,F,Y,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,34,7,1,1,0,0,Sales staff,2,23,1,4
79,F,Y,Y,1,225000,Working,Higher education,Separated,House / apartment,40,55,1,0,0,0,Core staff,2,2,0,1
80,F,N,Y,0,247500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,48,7,1,0,0,0,Laborers,2,2,1,1
81,M,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,28,32,1,0,0,1,Sales staff,2,0,0,3
82,F,Y,Y,0,216000,Working,Higher education,Civil marriage,House / apartment,41,47,1,0,0,1,Accountants,2,53,2,2
83,F,N,N,2,180000,Working,Higher education,Married,House / apartment,32,56,1,0,0,0,High skill tech staff,4,38,1,2
84,M,Y,Y,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,64,12174,1,0,1,0,,2,27,2,3
85,M,Y,N,0,184500,Working,Secondary / secondary special,Married,Municipal apartment,49,40,1,0,0,0,Laborers,2,41,1,2
86,M,Y,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,34,15,1,1,0,1,Drivers,3,45,2,4
87,F,N,Y,0,270000,Commercial associate,Secondary / secondary special,Widow,House / apartment,36,7,1,1,1,1,Core staff,1,56,2,1
88,F,Y,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,55,180,1,0,0,0,Managers,2,45,2,1
89,M,N,N,0,450000,Commercial associate,Incomplete higher,Married,House / apartment,39,138,1,1,1,0,Managers,2,59,2,1
90,F,N,Y,0,45000,State servant,Secondary / secondary special,Married,House / apartment,55,313,1,1,0,0,Cleaning staff,2,30,2,4
91,F,Y,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,51,99,1,0,0,0,Private service staff,2,20,2,2
92,M,Y,Y,1,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,33,23,1,0,0,0,Laborers,3,5,2,3
93,F,N,Y,0,202500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,52,120,1,0,0,0,High skill tech staff,1,22,1,2
94,F,N,Y,0,180000,Pensioner,Secondary / secondary special,Married,House / apartment,65,12174,1,0,0,0,,2,26,2,2
95,M,N,Y,0,79650,Pensioner,Secondary / secondary special,Married,House / apartment,44,12174,1,0,1,0,,2,14,2,4
96,M,N,Y,0,450000,Commercial associate,Secondary / secondary special,Married,House / apartment,64,69,1,0,0,0,Security staff,2,56,2,1
97,M,Y,Y,0,157500,Working,Secondary / secondary special,Civil marriage,House / apartment,25,40,1,0,0,0,Drivers,2,46,2,2
98,M,Y,Y,0,450000,Commercial associate,Higher education,Single / not married,House / apartment,29,19,1,0,0,1,Sales staff,1,5,2,1
99,F,N,N,0,270000,State servant,Secondary / secondary special,Separated,House / apartment,53,411,1,0,1,1,Medicine staff,1,35,2,1
100,F,N,Y,0,135000,Working,Higher education,Married,House / apartment,60,283,1,0,0,0,Private service staff,2,9,2,3
101,F,N,Y,0,81000,Working,Secondary / secondary special,Married,House / apartment,53,101,1,1,1,0,Managers,2,2,1,4
102,F,N,N,1,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,33,20,1,0,0,0,Managers,3,12,2,3
103,M,Y,N,0,315000,Working,Higher education,Married,House / apartment,43,124,1,1,1,0,Managers,2,12,2,1
104,M,Y,Y,0,225000,Commercial associate,Higher education,Single / not married,House / apartment,43,84,1,0,1,0,Sales staff,1,7,0,1
105,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,27,86,1,0,0,0,Laborers,2,5,2,3
106,F,N,N,1,90000,Working,Secondary / secondary special,Married,House / apartment,44,65,1,0,1,0,,3,47,2,4
107,F,Y,N,1,306000,Working,Higher education,Married,House / apartment,25,55,1,0,0,0,,3,4,1,1
108,F,N,Y,0,153000,Working,Higher education,Single / not married,House / apartment,29,22,1,0,1,0,Core staff,1,22,2,3
109,F,N,Y,0,126000,Working,Secondary / secondary special,Married,House / apartment,62,74,1,1,1,0,High skill tech staff,2,13,2,3
110,M,Y,Y,0,315000,Commercial associate,Higher education,Married,House / apartment,35,5,1,0,0,0,Managers,2,57,2,1
111,M,Y,Y,1,225000,Working,Secondary / secondary special,Married,House / apartment,44,79,1,0,0,0,Drivers,3,44,2,1
112,F,N,N,0,193500,Working,Secondary / secondary special,Single / not married,House / apartment,48,6,1,0,1,0,Laborers,1,4,2,2
113,F,N,Y,2,90000,Commercial associate,Secondary / secondary special,Married,House / apartment,47,37,1,0,0,0,Cooking staff,4,36,1,4
114,M,Y,Y,2,135000,Working,Higher education,Married,House / apartment,31,98,1,0,0,1,Managers,4,43,2,3
115,F,N,N,0,81000,Pensioner,Secondary / secondary special,Married,House / apartment,57,12174,1,0,0,0,,2,49,2,4
116,F,Y,Y,1,382500,Working,Secondary / secondary special,Married,House / apartment,39,91,1,0,0,0,Managers,3,11,2,1
117,F,N,Y,0,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,44,22,1,0,0,0,Sales staff,2,27,2,2
118,F,N,Y,0,112500,Working,Higher education,Married,House / apartment,50,191,1,0,1,0,Sales staff,2,47,2,4
119,F,N,Y,2,144000,Working,Secondary / secondary special,Married,House / apartment,33,61,1,1,1,0,Cooking staff,4,0,1,3
120,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Widow,House / apartment,58,12174,1,0,0,0,,1,4,1,2
121,F,N,N,0,144000,Working,Secondary / secondary special,Married,Municipal apartment,45,332,1,1,1,0,Sales staff,2,35,2,3
122,F,Y,Y,2,283500,State servant,Higher education,Married,House / apartment,35,137,1,0,0,0,Core staff,4,39,2,1
123,F,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,53,207,1,0,0,0,High skill tech staff,2,48,2,2
124,F,Y,Y,2,90000,Commercial associate,Secondary / secondary special,Married,House / apartment,42,111,1,0,0,0,Accountants,4,55,2,4
125,M,N,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,34,134,1,0,0,0,Managers,2,42,2,1
126,F,Y,N,1,175500,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,32,166,1,0,0,0,Laborers,2,45,2,2
127,M,Y,Y,1,360000,Commercial associate,Higher education,Married,House / apartment,45,13,1,0,1,1,Laborers,3,30,2,1
128,F,N,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,37,174,1,0,0,0,Laborers,3,38,1,4
129,M,N,N,1,315000,Working,Secondary / secondary special,Married,House / apartment,48,58,1,0,0,0,Laborers,3,11,2,1
130,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,107,1,0,0,0,Laborers,1,1,0,1
131,F,Y,N,0,202500,Commercial associate,Secondary / secondary special,Civil marriage,With parents,38,177,1,0,1,0,,2,33,0,2
132,F,N,N,0,225000,Commercial associate,Higher education,Married,House / apartment,28,14,1,1,1,0,Drivers,2,35,2,1
133,F,Y,N,1,387000,Working,Higher education,Married,House / apartment,36,85,1,0,0,0,Managers,3,22,2,1
134,F,Y,Y,0,135000,Pensioner,Secondary / secondary special,Widow,House / apartment,62,12174,1,0,0,0,,1,6,2,3
135,M,Y,N,1,337500,Commercial associate,Higher education,Separated,House / apartment,42,6,1,0,1,0,Managers,2,23,0,1
136,F,N,N,1,225000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,34,13,1,0,0,0,Accountants,3,29,2,1
137,F,Y,Y,1,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,37,108,1,0,0,0,Sales staff,3,46,2,1
138,F,N,Y,0,54000,Pensioner,Secondary / secondary special,Married,House / apartment,66,12174,1,0,0,0,,2,2,0,4
139,F,Y,N,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,37,32,1,0,1,0,,2,39,2,2
140,M,Y,Y,1,180000,Working,Higher education,Married,With parents,32,56,1,1,0,0,Laborers,3,15,0,2
141,F,Y,Y,1,112500,Commercial associate,Higher education,Civil marriage,House / apartment,28,100,1,0,0,1,Core staff,3,12,2,4
142,M,Y,Y,0,360000,Working,Higher education,Married,House / apartment,61,64,1,0,1,0,Managers,2,11,2,1
143,F,Y,Y,0,256500,Commercial associate,Secondary / secondary special,Married,House / apartment,37,35,1,0,0,1,Core staff,2,45,2,1
144,F,Y,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,28,44,1,0,0,0,,2,8,2,2
145,F,Y,N,0,202500,State servant,Secondary / secondary special,Married,House / apartment,53,398,1,0,1,0,Medicine staff,2,7,2,2
146,F,N,N,0,247500,Working,Higher education,Married,House / apartment,38,246,1,1,1,0,Managers,2,6,1,1
147,F,N,Y,0,157500,Working,Higher education,Married,House / apartment,34,23,1,0,0,0,Sales staff,2,11,1,2
148,M,Y,Y,0,225000,Working,Secondary / secondary special,Married,House / apartment,39,26,1,0,1,0,,2,26,2,1
149,F,N,Y,2,112500,Working,Secondary / secondary special,Married,House / apartment,35,79,1,0,0,0,Laborers,4,49,1,4
150,F,Y,N,1,157500,Working,Higher education,Married,House / apartment,32,94,1,0,0,0,Laborers,3,41,2,2
151,M,Y,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,42,10,1,0,0,0,Drivers,2,33,2,1
152,F,Y,Y,0,360000,Working,Secondary / secondary special,Separated,House / apartment,29,19,1,1,0,0,Medicine staff,1,35,2,1
153,M,Y,Y,0,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,49,115,1,0,0,0,Drivers,2,32,1,2
154,F,N,N,0,175500,Working,Secondary / secondary special,Married,House / apartment,51,366,1,1,0,0,,2,46,2,2
155,F,N,Y,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,55,12174,1,0,0,0,,2,35,2,4
156,M,N,Y,1,135000,Working,Secondary / secondary special,Separated,House / apartment,45,29,1,0,0,0,Laborers,2,38,2,3
157,M,N,Y,2,157500,Working,Secondary / secondary special,Married,House / apartment,27,48,1,0,0,0,,4,44,2,2
158,M,N,Y,1,202500,State servant,Higher education,Married,House / apartment,29,78,1,0,0,0,Core staff,3,39,2,2
159,F,N,Y,0,153000,Pensioner,Higher education,Married,House / apartment,59,12174,1,0,1,0,,2,51,1,3
160,F,Y,Y,1,72000,Working,Secondary / secondary special,Married,House / apartment,46,42,1,0,0,0,Sales staff,3,11,2,4
161,M,Y,Y,2,360000,Working,Secondary / secondary special,Married,House / apartment,36,27,1,0,1,0,Managers,4,33,0,1
162,F,N,N,1,540000,Working,Secondary / secondary special,Separated,House / apartment,44,68,1,1,0,0,Managers,2,60,2,1
163,F,N,Y,0,155250,Pensioner,Secondary / secondary special,Married,House / apartment,60,12174,1,0,0,0,,2,24,2,3
164,M,Y,Y,0,189000,Working,Secondary / secondary special,Married,House / apartment,57,27,1,0,0,1,Security staff,2,3,1,2
165,F,N,Y,0,139500,State servant,Higher education,Married,House / apartment,57,29,1,1,1,0,,2,4,1,3
166,F,N,Y,0,495000,Pensioner,Secondary / secondary special,Widow,House / apartment,59,12174,1,0,1,0,,1,15,2,1
167,M,Y,N,0,459000,Commercial associate,Secondary / secondary special,Married,House / apartment,43,3,1,1,1,0,Drivers,2,14,2,1
168,F,N,N,0,157500,Working,Secondary / secondary special,Married,House / apartment,53,329,1,1,1,0,,2,21,1,2
169,F,N,Y,1,225000,Working,Secondary / secondary special,Separated,House / apartment,38,126,1,0,0,0,,2,3,1,1
170,M,Y,Y,1,450000,Commercial associate,Secondary / secondary special,Married,House / apartment,49,22,1,0,1,1,Core staff,3,60,2,1
171,F,N,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,42,28,1,0,0,0,Private service staff,2,2,0,3
172,M,N,Y,1,135000,Working,Secondary / secondary special,Married,House / apartment,43,269,1,0,0,0,,3,49,1,3
173,F,N,Y,0,189000,Pensioner,Secondary / secondary special,Married,House / apartment,63,12174,1,0,0,0,,2,19,0,2
174,F,N,Y,0,225000,Commercial associate,Higher education,Married,House / apartment,29,34,1,0,0,1,Sales staff,2,15,2,1
175,M,N,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,29,45,1,0,0,0,Drivers,2,2,1,4
176,F,Y,N,0,315000,State servant,Higher education,Married,House / apartment,49,331,1,1,0,0,Managers,2,26,2,1
177,F,N,N,0,157500,Commercial associate,Higher education,Single / not married,Rented apartment,32,47,1,0,0,0,,1,22,1,2
178,M,N,N,0,126000,Pensioner,Secondary / secondary special,Married,House / apartment,55,12174,1,0,0,0,,2,12,2,3
179,M,Y,Y,0,315000,Commercial associate,Secondary / secondary special,Married,Rented apartment,46,67,1,0,0,0,Drivers,2,19,2,1
180,F,Y,Y,0,720000,Commercial associate,Higher education,Separated,House / apartment,56,160,1,1,1,0,Managers,1,58,2,1
181,F,N,Y,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,56,12174,1,0,0,0,,2,5,0,4
182,F,N,Y,2,67500,Working,Higher education,Married,House / apartment,28,32,1,1,0,0,,4,12,0,4
183,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,62,12174,1,0,1,0,,2,42,1,2
184,M,Y,N,0,225000,Working,Secondary / secondary special,Married,Office apartment,41,33,1,0,0,1,Drivers,2,46,2,1
185,F,N,Y,0,180000,Working,Lower secondary,Widow,House / apartment,46,74,1,1,1,0,Cleaning staff,1,49,2,2
186,F,Y,Y,0,216000,Working,Higher education,Married,House / apartment,50,60,1,0,0,0,Secretaries,2,10,2,2
187,F,Y,Y,1,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,37,141,1,0,0,0,Laborers,3,4,1,2
188,F,N,N,0,112500,Pensioner,Secondary / secondary special,Widow,House / apartment,54,12174,1,0,0,0,,1,26,0,4
189,F,N,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,45,152,1,0,0,0,,2,44,2,4
190,F,N,Y,0,90000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,63,12174,1,0,1,0,,1,13,0,4
191,F,N,N,0,121500,Pensioner,Secondary / secondary special,Married,House / apartment,58,12174,1,0,0,0,,2,28,2,3
192,F,N,Y,0,135000,Working,Higher education,Married,House / apartment,36,54,1,0,0,0,Laborers,2,14,2,3
193,M,Y,N,0,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,44,85,1,0,0,0,Security staff,2,22,0,2
194,M,Y,N,1,252000,State servant,Higher education,Married,House / apartment,34,55,1,1,1,0,High skill tech staff,3,19,1,1
195,F,N,Y,0,202500,Working,Secondary / secondary special,Civil marriage,House / apartment,30,18,1,0,0,0,Laborers,2,5,2,2
196,M,Y,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,27,76,1,0,0,0,Managers,2,36,2,2
197,M,N,Y,1,360000,Working,Secondary / secondary special,Civil marriage,House / apartment,31,85,1,0,0,0,Sales staff,3,49,2,1
198,F,N,Y,2,225000,State servant,Secondary / secondary special,Married,House / apartment,35,179,1,1,0,0,Medicine staff,4,26,1,1
199,F,N,Y,2,360000,Working,Secondary / secondary special,Married,House / apartment,43,21,1,0,1,0,Sales staff,4,11,2,1
200,M,Y,Y,0,202500,Working,Higher education,Married,House / apartment,40,65,1,0,0,0,Managers,2,3,1,2
201,F,Y,Y,0,225000,Working,Higher education,Married,House / apartment,33,123,1,0,0,0,Core staff,2,10,1,1
202,F,N,N,0,135000,Working,Higher education,Married,House / apartment,38,148,1,1,0,0,Core staff,2,8,1,3
203,M,Y,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,31,134,1,0,1,0,Laborers,2,41,2,1
204,M,N,N,0,382500,Working,Secondary / secondary special,Married,Municipal apartment,47,40,1,1,1,0,Managers,2,46,1,1
205,F,N,Y,0,171000,Working,Secondary / secondary special,Single / not married,Rented apartment,46,22,1,0,0,0,Laborers,1,28,2,2
206,M,N,N,0,292500,State servant,Secondary / secondary special,Married,House / apartment,31,91,1,1,1,0,Core staff,2,48,1,1
207,F,Y,N,0,144000,Working,Secondary / secondary special,Widow,House / apartment,39,44,1,0,0,0,HR staff,1,6,2,3
208,F,N,N,2,112500,State servant,Higher education,Married,House / apartment,31,90,1,0,0,1,Core staff,4,3,0,4
209,F,N,Y,0,81000,Pensioner,Secondary / secondary special,Married,House / apartment,58,12174,1,0,1,0,,2,18,2,4
210,F,Y,Y,1,225000,Working,Higher education,Separated,House / apartment,40,55,1,0,0,0,Core staff,2,0,1,1
211,F,N,Y,0,315000,Commercial associate,Higher education,Separated,House / apartment,48,79,1,1,1,0,Accountants,1,52,2,1
212,M,Y,Y,1,427500,Working,Higher education,Married,House / apartment,41,11,1,0,0,0,Managers,3,3,1,1
213,F,N,N,0,78750,Working,Secondary / secondary special,Married,With parents,33,68,1,1,0,0,Security staff,2,13,2,4
214,F,N,N,0,67500,Pensioner,Higher education,Widow,House / apartment,65,12174,1,0,0,0,,1,30,0,4
215,F,N,Y,0,121500,Working,Secondary / secondary special,Married,House / apartment,60,67,1,0,0,0,Laborers,2,13,2,3
216,F,N,N,0,144000,Working,Secondary / secondary special,Single / not married,House / apartment,46,243,1,1,1,0,Core staff,1,42,2,3
217,F,N,Y,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,61,12174,1,0,0,0,,2,45,1,3
218,F,N,N,0,94500,Pensioner,Secondary / secondary special,Married,House / apartment,58,12174,1,0,1,0,,2,41,0,4
219,F,Y,N,0,562500,Working,Higher education,Married,House / apartment,40,94,1,1,0,0,Managers,2,12,0,1
220,F,N,Y,0,90000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,60,12174,1,0,0,0,,1,32,1,4
221,F,N,N,1,72000,Commercial associate,Higher education,Married,House / apartment,38,64,1,0,0,1,Accountants,3,43,2,4
222,M,N,Y,0,144000,Working,Secondary / secondary special,Civil marriage,House / apartment,46,61,1,0,0,0,Security staff,2,11,2,3
223,F,Y,N,0,202500,Commercial associate,Secondary / secondary special,Married,Municipal apartment,58,37,1,0,1,0,Accountants,2,17,2,2
224,F,N,N,0,270000,Working,Higher education,Married,House / apartment,48,193,1,1,1,0,Managers,2,28,2,1
